match_id,source_event_id,match,date,status,ht_score,ft_score,market,selection,team,line,opening_odds,closing_odds,movement_pct,result,notes
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,AH,Mexico -0.25,Mexico,-0.25,1.75,1.75,0.0,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,AH,Ecuador +0.25,Ecuador,+0.25,1.97,2.00,1.5,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,HT_AH,Mexico 0.00,Mexico,0.00,1.55,1.55,0.0,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,HT_AH,Ecuador +0.00,Ecuador,+0.00,2.30,2.30,0.0,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,1X2,Mexico,Mexico,,2.10,1.80,-14.3,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,1X2,Draw,Draw,,2.85,2.60,-8.8,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,1X2,Ecuador,Ecuador,,3.40,5.20,52.9,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,AH,Mexico -1.5,Mexico,-1.5,4.40,3.55,-19.3,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,AH,Ecuador +1.5,Ecuador,+1.5,1.15,1.22,6.1,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,OU,Over 1.5,,1.5,1.50,1.53,2.0,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,OU,Under 1.5,,1.5,2.35,2.30,-2.1,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,BTTS,Yes,,,2.10,2.25,7.1,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,BTTS,No,,,1.60,1.53,-4.4,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,HT_1X2,Mexico,Mexico,,2.85,2.95,3.5,Win,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,HT_1X2,Draw,Draw,,1.87,1.80,-3.7,Loss,User-provided SGOdds past odds text
WC2026-R32-MEX-ECU,140217,Mexico vs Ecuador,2026-07-01,COMPLETED,2-0,2-0,HT_1X2,Ecuador,Ecuador,,4.20,4.40,4.8,Loss,User-provided SGOdds past odds text
