match_id,source_event_id,match,date,ht_score,ft_score,market,selection,team,line,opening_odds,closing_odds,movement_pct,result,notes
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,AH,Colombia +0.50,Colombia,+0.50,1.95,2.10,7.7,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,AH,Portugal -0.50,Portugal,-0.50,1.77,1.67,-5.6,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_AH,Colombia +0.25,Colombia,+0.25,1.80,1.95,8.3,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_AH,Portugal -0.25,Portugal,-0.25,1.95,1.77,-9.2,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,1X2,Colombia,Colombia,,3.70,3.80,2.7,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,1X2,Draw,Draw,,3.40,3.70,8.8,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,1X2,Portugal,Portugal,,1.77,1.67,-5.6,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,AH,Colombia +1.5,Colombia,+1.5,1.25,1.37,9.6,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,AH,Portugal -1.5,Portugal,-1.5,3.35,2.70,-19.4,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,OU,Over 2.5,,2.5,1.93,1.58,-18.1,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,OU,Under 2.5,,2.5,1.75,2.20,25.7,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,BTTS,Yes,,,1.82,1.53,-15.9,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,BTTS,No,,,1.82,2.25,23.6,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_1X2,Colombia,Colombia,,4.20,4.10,-2.4,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_1X2,Draw,Draw,,2.10,2.25,7.1,Win,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_1X2,Portugal,Portugal,,2.45,2.30,-6.1,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_OU,Over 1.5,,1.5,2.85,2.20,-22.8,Loss,User-provided SGOdds past odds text
WC2026-GS-COL-POR,unknown,Colombia vs Portugal,2026-06-28,0-0,0-0,HT_OU,Under 1.5,,1.5,1.35,1.58,17.0,Win,User-provided SGOdds past odds text
